"","SYMBOL"
"1","HMGCS1"
"2","MLC1"
"3","AACS"
"4","GRAMD1B"
"5","INHBA"
"6","LRP6"
"7","ABCA1"
"8","CYP7A1"
"9","CES1"
"10","GPLD1"
"11","PTCH1"
"12","LRP8"
"13","DAG1"
"14","NFE2L1"
"15","GRAMD1C"
"16","GRAMD1A"
"17","SMO"
"18","OSBPL7"
"19","NPC2"
"20","SCARB2"
"21","STAR"
"22","A8K2P7"
"23","STARD4"
"24","SULT2B1"
"25","PROM1"
"26","ERLIN1"
"27","SOAT2"
"28","ERLIN2"
"29","STARD3NL"
"30","APOA1"
"31","APOA2"
"32","APOC3"
"33","PMP2"
"34","APOD"
"35","APOA4"
"36","ANXA6"
"37","SYP"
"38","CETP"
"39","VDAC1"
"40","SCP2"
"41","TSPO"
"42","SOAT1"
"43","ABCG1"
"44","VDAC2"
"45","CD81"
"46","CAV1"
"47","NR1H3"
"48","APOF"
"49","STARD3"
"50","TSPO2"
"51","APOA5"
"52","DKFZp451B0517"
"53","PROM2"
"54","OSBP2"
"55","OSBPL10"
"56","OSBPL1A"
"57","OSBPL8"
"58","OSBPL6"
"59","OSBPL5"
"60","OSBPL2"
"61","LBR"
"62","TM7SF2"
"63","DHCR7"
"64","CFTR"
"65","INSIG2"
"66","HMGCR"
"67","INSIG1"
"68","A0A140VJL2"
"69","MVK"
"70","A8K0D2"
"71","A8KA27"
"72","B2R649"
"73","B4DK82"
"74","B4E1K5"
"75","B7Z301"
"76","CYB5R3"
"77","G6PD"
"78","FDPS"
"79","FDFT1"
"80","ACAA2"
"81","LSS"
"82","ACLY"
"83","MVD"
"84","PRKAA2"
"85","HMGCS2"
"86","HSD17B7"
"87","PRKAA1"
"88","IDI1"
"89","EBP"
"90","PMVK"
"91","DHCR24"
"92","NSDHL"
"93","MSMO1"
"94","CYP51A1"
"95","Q59ET9"
"96","PLPP6"
"97","IDI2"
"98","SC5D"
"99","SC5DL"
"100","SCARB1"
"101","APOE"
"102","CYP46A1"
"103","O75612"
"104","CEL"
"105","MT3"
"106","AKR1D1"
"107","CYP27A1"
"108","SCARF1"
"109","SNX17"
"110","Q59ER2"
"111","HSD3B1"
"112","HSD3B2"
"113","LRRC54"
"114","ABCA8"
"115","APOM"
"116","APOC1"
"117","APOC2"
"118","STX12"
"119","ABCA7"
"120","TSKU"
"121","ABCA5"
"122","ABCG4"
"123","ABCG8"
"124","ABCG5"
"125","B7ZAT6"
"126","LCAT"
"127","ACAT1"
"128","SIRT1"
"129","SREBF2"
"130","LDLR"
"131","A0A384MDY5"
"132","LRP5L"
"133","EHD1"
"134","FABP4"
"135","NR1D1"
"136","NR2A1"
"137","LAMTOR1"
"138","NR5A2"
"139","PLA2G10"
"140","LRP5"
"141","CYP7B1"
"142","ABCB11"
"143","FABP3"
"144","LPL"
"145","LIPC"
"146","XBP1"
"147","FGFR4"
"148","CD24"
"149","EPHX2"
"150","RORA"
"151","G6PC1"
"152","HNF4A"
"153","NR1H2"
"154","MTTP"
"155","CAV3"
"156","CNBP"
"157","AKR1C1"
"158","ACSM1"
"159","MALL"
"160","IL18"
"161","ACOX1"
"162","COMMD9"
"163","ACSM3"
"164","Q59GR1"
"165","TMEM97"
"166","LDLRAP1"
"167","TTC39B"
"168","MALRD1"
"169","GPIHBP1"
"170","PCSK9"
"171","MYLIP"
"172","NUS1"
"173","DGAT2"
"174","PLA2G12B"
"175","ABCA2"
"176","CD36"
"177","A0A068F579"
"178","GBA"
"179","A0A068F753"
"180","HNF1A"
"181","FDXR"
"182","CYP11A1"
"183","A0A140VJC8"
"184","A0A140VK24"
"185","A0A223PQI4"
"186","A0A384NPZ7"
"187","A0A384P5Q0"
"188","LEP"
"189","A8K6C1"
"190","A8K8D6"
"191","A8K8W7"
"192","B2R6A7"
"193","B4DDI3"
"194","B4DDI9"
"195","B4DDJ0"
"196","B4DGE5"
"197","B4DMZ5"
"198","B4DQ23"
"199","B4DTE5"
"200","B7Z6E6"
"201","B7Z6S9"
"202","B7Z731"
"203","B7Z7D8"
"204","B7Z7G9"
"205","LIPE"
"206","APOL1"
"207","MBTPS2"
"208","CUBN"
"209","CH25H"
"210","CAT"
"211","IL4"
"212","CYP1A2"
"213","CYP3A4"
"214","FDX1"
"215","CYP2D6"
"216","CYP2C9"
"217","CYP11B1"
"218","SMPD1"
"219","CYP11B2"
"220","RXRA"
"221","PON1"
"222","SREBF1"
"223","LEPR"
"224","CEBPA"
"225","VLDLR"
"226","HDLBP"
"227","PPARD"
"228","SULT2A1"
"229","APOBR"
"230","SCAP"
"231","SQLE"
"232","MBTPS1"
"233","NR0B2"
"234","Q5TZS4"
"235","SULT1C3"
"236","PIP4P1"
"237","Q8N995"
"238","Q8NAN7"
"239","FLJ00380"
"240","APOL2"
"241","VPS4B"
"242","ARV1"
"243","A8K977"
"244","MSR1"
"245","TPCN2"
"246","PNLIP"
"247","KIAA1468"
"248","RELCH"
"249","A8K7Y7"
"250","B2R4S5"
"251","B2RD46"
"252","B4DPT7"
"253","B4DV10"
"254","white"
"255","OSBP"
"256","Q53HV6"
"257","SERAC1"
"258","TGFBR2"
"259","TGFB1"
"260","F7"
"261","CCL3"
"262","TGFBR1"
"263","CCR5"
"264","SMAD2"
"265","CLU"
"266","SYT7"
"267","PIP4K2A"
