"","testlist_up"
"1","HDLBP"
"2","ACLY"
"3","NFE2L1"
"4","SREBF2"
"5","MBTPS1"
"6","FDFT1"
"7","DAG1"
"8","SQLE"
"9","HMGCS1"
"10","SREBF1"
"11","EHD1"
"12","MSMO1"
"13","XBP1"
"14","MVD"
"15","GBA"
"16","TSPO"
"17","PPARD"
"18","HMGCR"
"19","TMEM97"
"20","RXRA"
"21","STARD4"
"22","NPC2"
"23","SCP2"
"24","CAT"
"25","ERLIN2"
"26","SC5D"
"27","NR1H2"
"28","PIP4K2A"
"29","TSKU"
"30","SCARB1"
"31","OSBPL1A"
"32","ERLIN1"
"33","AACS"
"34","STX12"
"35","OSBPL2"
"36","MVK"
"37","NSDHL"
"38","APOD"
"39","OSBPL5"
"40","TGFB1"
"41","PIP4P1"
"42","APOL2"
"43","MYLIP"
"44","ABCA1"
"45","FDXR"
"46","PCSK9"
"47","OSBPL10"
"48","LDLRAP1"
"49","GRAMD1B"
"50","FDX1"
"51","CYP27A1"
"52","OSBPL6"
"53","AKR1C1"
"54","ABCA5"
"55","ABCA7"
"56","NR1H3"
"57","LCAT"
"58","TTC39B"
"59","NR1D1"
"60","TPCN2"
"61","CD36"
"62","IDI1"
"63","CAV3"
"64","APOL1"
"65","CUBN"
"66","LIPC"
"67","ABCA8"
"68","F7"
"69","APOC1"
"70","CES1"
"71","CYP46A1"
"72","CYP11A1"
"73","CETP"
"74","CH25H"
"75","CFTR"
"76","SOAT2"
"77","MLC1"
